vertice(0, 0).
edge(0, 0, 1).
edge(0, 0, 2).
edge(0, 0, 3).
edge(0, 0, 5).
edge(0, 0, 12).
edge(0, 0, 18).
edge(0, 0, 34).
edge(0, 0, 38).
edge(0, 1, 0).
vertice(0, 1).
edge(0, 1, 3).
edge(0, 1, 4).
edge(0, 1, 9).
edge(0, 1, 13).
edge(0, 1, 18).
edge(0, 1, 27).
edge(0, 1, 36).
edge(0, 2, 0).
vertice(0, 2).
edge(0, 2, 10).
edge(0, 2, 12).
edge(0, 2, 17).
edge(0, 2, 19).
edge(0, 2, 26).
edge(0, 2, 37).
edge(0, 3, 0).
edge(0, 3, 1).
vertice(0, 3).
edge(0, 3, 4).
edge(0, 3, 6).
edge(0, 3, 8).
edge(0, 3, 12).
edge(0, 3, 13).
edge(0, 3, 14).
edge(0, 3, 15).
edge(0, 3, 17).
edge(0, 3, 19).
edge(0, 3, 22).
edge(0, 3, 26).
edge(0, 3, 30).
edge(0, 3, 37).
edge(0, 4, 1).
edge(0, 4, 3).
vertice(0, 4).
edge(0, 4, 8).
edge(0, 4, 11).
edge(0, 4, 14).
edge(0, 4, 19).
edge(0, 4, 22).
edge(0, 4, 25).
edge(0, 4, 30).
edge(0, 4, 34).
edge(0, 4, 39).
edge(0, 5, 0).
vertice(0, 5).
edge(0, 5, 8).
edge(0, 5, 15).
edge(0, 5, 22).
edge(0, 5, 24).
edge(0, 5, 25).
edge(0, 5, 28).
edge(0, 5, 29).
edge(0, 5, 31).
edge(0, 6, 3).
vertice(0, 6).
edge(0, 6, 10).
edge(0, 6, 15).
edge(0, 6, 19).
edge(0, 6, 20).
edge(0, 6, 22).
edge(0, 6, 23).
edge(0, 6, 31).
vertice(0, 7).
edge(0, 7, 16).
edge(0, 7, 17).
edge(0, 7, 19).
edge(0, 7, 21).
edge(0, 7, 28).
edge(0, 7, 34).
edge(0, 7, 35).
edge(0, 7, 36).
edge(0, 7, 39).
edge(0, 8, 3).
edge(0, 8, 4).
edge(0, 8, 5).
vertice(0, 8).
edge(0, 8, 11).
edge(0, 8, 16).
edge(0, 8, 17).
edge(0, 8, 20).
edge(0, 8, 21).
edge(0, 8, 22).
edge(0, 8, 23).
edge(0, 8, 29).
edge(0, 8, 30).
edge(0, 8, 32).
edge(0, 8, 34).
edge(0, 9, 1).
vertice(0, 9).
edge(0, 9, 15).
edge(0, 9, 16).
edge(0, 9, 18).
edge(0, 9, 19).
edge(0, 9, 23).
edge(0, 9, 24).
edge(0, 9, 26).
edge(0, 9, 27).
edge(0, 9, 29).
edge(0, 9, 33).
edge(0, 9, 36).
edge(0, 9, 37).
edge(0, 10, 2).
edge(0, 10, 6).
vertice(0, 10).
edge(0, 10, 12).
edge(0, 10, 13).
edge(0, 10, 14).
edge(0, 10, 15).
edge(0, 10, 17).
edge(0, 10, 20).
edge(0, 10, 25).
edge(0, 10, 31).
edge(0, 10, 32).
edge(0, 10, 36).
edge(0, 11, 4).
edge(0, 11, 8).
vertice(0, 11).
edge(0, 11, 12).
edge(1, 11, 45).
edge(0, 11, 15).
edge(0, 11, 17).
edge(0, 11, 23).
edge(0, 11, 27).
edge(0, 11, 33).
edge(0, 11, 36).
edge(0, 12, 0).
edge(0, 12, 2).
edge(0, 12, 3).
edge(0, 12, 10).
edge(0, 12, 11).
vertice(0, 12).
edge(0, 12, 13).
edge(0, 12, 17).
edge(0, 12, 19).
edge(0, 12, 21).
edge(0, 12, 23).
edge(0, 12, 25).
edge(0, 12, 27).
edge(0, 12, 29).
edge(0, 12, 34).
edge(0, 12, 35).
edge(0, 12, 37).
edge(0, 12, 38).
edge(0, 13, 1).
edge(0, 13, 3).
edge(0, 13, 10).
edge(0, 13, 12).
vertice(0, 13).
edge(0, 13, 15).
edge(0, 13, 16).
edge(0, 13, 17).
edge(0, 13, 18).
edge(0, 13, 22).
edge(0, 13, 24).
edge(0, 13, 25).
edge(0, 13, 29).
edge(0, 13, 35).
edge(0, 13, 38).
edge(0, 14, 3).
edge(0, 14, 4).
edge(0, 14, 10).
vertice(0, 14).
edge(0, 14, 17).
edge(0, 14, 18).
edge(0, 14, 19).
edge(0, 14, 20).
edge(0, 14, 23).
edge(0, 14, 25).
edge(0, 14, 26).
edge(0, 14, 30).
edge(0, 14, 31).
edge(0, 14, 37).
edge(0, 15, 3).
edge(0, 15, 5).
edge(0, 15, 6).
edge(0, 15, 9).
edge(0, 15, 10).
edge(0, 15, 11).
edge(0, 15, 13).
vertice(0, 15).
edge(0, 15, 16).
edge(0, 15, 17).
edge(0, 15, 21).
edge(0, 15, 26).
edge(0, 15, 34).
edge(0, 15, 35).
edge(0, 15, 36).
edge(0, 16, 7).
edge(0, 16, 8).
edge(0, 16, 9).
edge(0, 16, 13).
edge(0, 16, 15).
vertice(0, 16).
edge(0, 16, 17).
edge(0, 16, 18).
edge(0, 16, 26).
edge(0, 16, 27).
edge(0, 16, 36).
edge(0, 16, 37).
edge(0, 17, 2).
edge(0, 17, 3).
edge(0, 17, 7).
edge(0, 17, 8).
edge(0, 17, 10).
edge(0, 17, 11).
edge(0, 17, 12).
edge(0, 17, 13).
edge(0, 17, 14).
edge(0, 17, 15).
edge(0, 17, 16).
vertice(0, 17).
edge(0, 17, 18).
edge(0, 17, 20).
edge(0, 17, 26).
edge(0, 17, 29).
edge(0, 17, 30).
edge(0, 17, 31).
edge(0, 17, 33).
edge(0, 17, 35).
edge(0, 17, 39).
edge(0, 18, 0).
edge(0, 18, 1).
edge(0, 18, 9).
edge(0, 18, 13).
edge(0, 18, 14).
edge(0, 18, 16).
edge(0, 18, 17).
vertice(0, 18).
edge(0, 18, 23).
edge(0, 18, 26).
edge(0, 18, 30).
edge(0, 18, 32).
edge(0, 18, 34).
edge(0, 18, 35).
edge(0, 19, 2).
edge(0, 19, 3).
edge(0, 19, 4).
edge(0, 19, 6).
edge(0, 19, 7).
edge(0, 19, 9).
edge(0, 19, 12).
edge(0, 19, 14).
vertice(0, 19).
edge(0, 19, 25).
edge(0, 19, 26).
edge(0, 19, 27).
edge(0, 19, 28).
edge(0, 19, 36).
edge(0, 19, 39).
edge(0, 20, 6).
edge(0, 20, 8).
edge(0, 20, 10).
edge(0, 20, 14).
edge(0, 20, 17).
vertice(0, 20).
edge(0, 20, 24).
edge(0, 20, 27).
edge(0, 20, 28).
edge(0, 20, 31).
edge(0, 20, 32).
edge(0, 20, 33).
edge(0, 20, 39).
edge(0, 21, 7).
edge(0, 21, 8).
edge(0, 21, 12).
edge(0, 21, 15).
vertice(0, 21).
edge(0, 21, 23).
edge(0, 21, 25).
edge(0, 21, 29).
edge(0, 21, 35).
edge(0, 21, 36).
edge(0, 21, 38).
edge(0, 21, 39).
edge(0, 22, 3).
edge(0, 22, 4).
edge(0, 22, 5).
edge(0, 22, 6).
edge(0, 22, 8).
edge(0, 22, 13).
vertice(0, 22).
edge(0, 22, 23).
edge(0, 22, 24).
edge(0, 22, 28).
edge(0, 22, 32).
edge(0, 22, 34).
edge(0, 22, 35).
edge(0, 22, 36).
edge(0, 22, 39).
edge(0, 23, 6).
edge(0, 23, 8).
edge(0, 23, 9).
edge(0, 23, 11).
edge(0, 23, 12).
edge(0, 23, 14).
edge(0, 23, 18).
edge(0, 23, 21).
edge(0, 23, 22).
vertice(0, 23).
edge(1, 23, 62).
edge(0, 23, 26).
edge(0, 23, 31).
edge(0, 23, 34).
edge(0, 23, 36).
edge(0, 23, 39).
edge(0, 24, 5).
edge(0, 24, 9).
edge(0, 24, 13).
edge(0, 24, 20).
edge(0, 24, 22).
vertice(0, 24).
edge(0, 24, 28).
edge(0, 24, 34).
edge(0, 24, 38).
edge(0, 24, 39).
edge(0, 25, 4).
edge(0, 25, 5).
edge(0, 25, 10).
edge(0, 25, 12).
edge(0, 25, 13).
edge(0, 25, 14).
edge(0, 25, 19).
edge(0, 25, 21).
vertice(0, 25).
edge(0, 25, 26).
edge(0, 25, 31).
edge(0, 25, 32).
edge(0, 25, 34).
edge(0, 25, 37).
edge(0, 26, 2).
edge(0, 26, 3).
edge(0, 26, 9).
edge(0, 26, 14).
edge(0, 26, 15).
edge(0, 26, 16).
edge(0, 26, 17).
edge(0, 26, 18).
edge(0, 26, 19).
edge(0, 26, 23).
edge(0, 26, 25).
vertice(0, 26).
edge(0, 26, 27).
edge(0, 26, 38).
edge(0, 27, 1).
edge(0, 27, 9).
edge(0, 27, 11).
edge(0, 27, 12).
edge(0, 27, 16).
edge(0, 27, 19).
edge(0, 27, 20).
edge(0, 27, 26).
vertice(0, 27).
edge(2, 27, 100).
edge(0, 27, 33).
edge(0, 27, 37).
edge(0, 28, 5).
edge(0, 28, 7).
edge(0, 28, 19).
edge(0, 28, 20).
edge(0, 28, 22).
edge(0, 28, 24).
vertice(0, 28).
edge(0, 28, 30).
edge(0, 28, 34).
edge(0, 28, 37).
edge(0, 29, 5).
edge(0, 29, 8).
edge(0, 29, 9).
edge(0, 29, 12).
edge(0, 29, 13).
edge(0, 29, 17).
edge(0, 29, 21).
vertice(0, 29).
edge(0, 29, 31).
edge(0, 29, 33).
edge(0, 30, 3).
edge(0, 30, 4).
edge(0, 30, 8).
edge(0, 30, 14).
edge(0, 30, 17).
edge(0, 30, 18).
edge(0, 30, 28).
vertice(0, 30).
edge(0, 30, 34).
edge(0, 30, 35).
edge(0, 30, 36).
edge(0, 30, 38).
edge(0, 31, 5).
edge(0, 31, 6).
edge(0, 31, 10).
edge(0, 31, 14).
edge(0, 31, 17).
edge(0, 31, 20).
edge(0, 31, 23).
edge(0, 31, 25).
edge(0, 31, 29).
vertice(0, 31).
edge(0, 31, 33).
edge(0, 31, 36).
edge(0, 31, 39).
edge(0, 32, 8).
edge(0, 32, 10).
edge(0, 32, 18).
edge(0, 32, 20).
edge(0, 32, 22).
edge(0, 32, 25).
vertice(0, 32).
edge(0, 32, 33).
edge(0, 32, 34).
edge(0, 33, 9).
edge(0, 33, 11).
edge(0, 33, 17).
edge(0, 33, 20).
edge(0, 33, 27).
edge(0, 33, 29).
edge(0, 33, 31).
edge(0, 33, 32).
vertice(0, 33).
edge(0, 34, 0).
edge(0, 34, 4).
edge(0, 34, 7).
edge(0, 34, 8).
edge(0, 34, 12).
edge(0, 34, 15).
edge(0, 34, 18).
edge(0, 34, 22).
edge(0, 34, 23).
edge(0, 34, 24).
edge(0, 34, 25).
edge(0, 34, 28).
edge(0, 34, 30).
edge(0, 34, 32).
vertice(0, 34).
edge(0, 34, 36).
edge(0, 34, 39).
edge(0, 35, 7).
