vertice(1, 40).
edge(1, 40, 44).
edge(1, 40, 46).
edge(1, 40, 50).
edge(1, 40, 59).
edge(1, 40, 62).
edge(1, 40, 63).
edge(1, 40, 64).
edge(1, 40, 65).
edge(1, 40, 66).
edge(1, 40, 68).
edge(1, 40, 72).
edge(1, 40, 73).
edge(1, 40, 74).
edge(1, 40, 75).
edge(1, 40, 76).
edge(1, 40, 77).
vertice(1, 41).
edge(1, 41, 43).
edge(1, 41, 46).
edge(1, 41, 47).
edge(1, 41, 54).
edge(1, 41, 55).
edge(1, 41, 57).
edge(1, 41, 58).
edge(1, 41, 59).
edge(1, 41, 60).
edge(1, 41, 64).
edge(1, 41, 67).
edge(1, 41, 68).
edge(1, 41, 71).
edge(1, 41, 72).
edge(1, 41, 74).
edge(1, 41, 76).
edge(1, 41, 77).
vertice(1, 42).
edge(1, 42, 43).
edge(1, 42, 45).
edge(1, 42, 48).
edge(1, 42, 50).
edge(1, 42, 51).
edge(1, 42, 52).
edge(1, 42, 57).
edge(1, 42, 60).
edge(1, 42, 65).
edge(1, 42, 74).
edge(1, 42, 75).
edge(1, 42, 78).
edge(1, 43, 41).
edge(1, 43, 42).
vertice(1, 43).
edge(1, 43, 45).
edge(1, 43, 46).
edge(1, 43, 48).
edge(1, 43, 49).
edge(1, 43, 50).
edge(1, 43, 52).
edge(1, 43, 54).
edge(1, 43, 66).
edge(1, 43, 69).
edge(1, 43, 70).
edge(1, 43, 73).
edge(1, 43, 79).
edge(1, 44, 40).
vertice(1, 44).
edge(1, 44, 45).
edge(1, 44, 48).
edge(1, 44, 49).
edge(1, 44, 51).
edge(1, 44, 57).
edge(1, 44, 59).
edge(1, 44, 63).
edge(1, 44, 64).
edge(1, 44, 69).
edge(1, 45, 42).
edge(1, 45, 43).
edge(1, 45, 44).
vertice(1, 45).
edge(0, 45, 11).
edge(1, 45, 53).
edge(1, 45, 56).
edge(1, 45, 61).
edge(1, 45, 62).
edge(1, 45, 65).
edge(1, 45, 68).
edge(1, 45, 70).
edge(1, 45, 72).
edge(1, 45, 79).
edge(1, 46, 40).
edge(1, 46, 41).
edge(1, 46, 43).
vertice(1, 46).
edge(1, 46, 48).
edge(1, 46, 50).
edge(1, 46, 52).
edge(1, 46, 53).
edge(1, 46, 54).
edge(1, 46, 58).
edge(1, 46, 60).
edge(1, 46, 64).
edge(1, 46, 79).
edge(1, 47, 41).
vertice(1, 47).
edge(1, 47, 50).
edge(1, 47, 54).
edge(1, 47, 55).
edge(1, 47, 56).
