vertice(2, 80).
edge(2, 80, 82).
edge(2, 80, 86).
edge(2, 80, 87).
edge(2, 80, 98).
edge(2, 80, 100).
edge(2, 80, 101).
edge(2, 80, 103).
edge(2, 80, 105).
edge(2, 80, 110).
edge(2, 80, 112).
edge(2, 80, 115).
edge(2, 80, 117).
edge(2, 80, 118).
vertice(2, 81).
edge(2, 81, 86).
edge(2, 81, 87).
edge(2, 81, 89).
edge(2, 81, 95).
edge(2, 81, 98).
edge(2, 81, 100).
edge(2, 81, 101).
edge(2, 81, 102).
edge(2, 81, 109).
edge(2, 81, 111).
edge(2, 81, 115).
edge(2, 81, 117).
edge(2, 81, 118).
edge(2, 82, 80).
vertice(2, 82).
edge(2, 82, 84).
edge(2, 82, 87).
edge(2, 82, 88).
edge(2, 82, 93).
edge(2, 82, 103).
edge(2, 82, 104).
edge(2, 82, 112).
edge(2, 82, 116).
edge(2, 82, 119).
vertice(2, 83).
edge(2, 83, 84).
edge(2, 83, 88).
edge(2, 83, 93).
edge(2, 83, 94).
edge(2, 83, 95).
edge(2, 83, 111).
edge(2, 84, 82).
edge(2, 84, 83).
vertice(2, 84).
edge(1, 84, 53).
edge(2, 84, 86).
edge(2, 84, 87).
edge(2, 84, 93).
edge(2, 84, 96).
edge(2, 84, 98).
edge(2, 84, 100).
edge(2, 84, 106).
edge(2, 84, 107).
edge(2, 84, 109).
edge(2, 84, 113).
edge(2, 84, 114).
edge(2, 84, 116).
edge(2, 84, 117).
vertice(2, 85).
edge(2, 85, 89).
edge(2, 85, 96).
edge(2, 85, 98).
edge(2, 85, 99).
edge(2, 85, 100).
edge(2, 85, 101).
edge(2, 85, 115).
edge(2, 85, 117).
edge(2, 86, 80).
edge(2, 86, 81).
edge(2, 86, 84).
vertice(2, 86).
edge(2, 86, 87).
edge(2, 86, 88).
edge(2, 86, 90).
edge(2, 86, 91).
edge(2, 86, 92).
edge(2, 86, 94).
edge(2, 86, 102).
edge(2, 86, 104).
edge(2, 86, 106).
edge(2, 86, 110).
edge(2, 86, 111).
edge(2, 86, 119).
edge(2, 87, 80).
edge(2, 87, 81).
edge(2, 87, 82).
edge(2, 87, 84).
edge(2, 87, 86).
vertice(2, 87).
edge(2, 87, 88).
edge(2, 87, 89).
edge(2, 87, 91).
edge(2, 87, 92).
edge(2, 87, 100).
edge(2, 87, 101).
edge(2, 87, 105).
edge(2, 87, 106).
edge(2, 87, 108).
edge(2, 87, 109).
edge(2, 87, 112).
edge(2, 87, 113).
edge(2, 87, 114).
edge(2, 87, 115).
edge(2, 87, 117).
edge(2, 87, 119).
edge(2, 88, 82).
edge(2, 88, 83).
edge(2, 88, 86).
edge(2, 88, 87).
vertice(2, 88).
edge(2, 88, 95).
edge(2, 88, 99).
edge(2, 88, 103).
edge(2, 88, 110).
edge(2, 88, 113).
edge(2, 88, 114).
edge(2, 88, 115).
edge(2, 88, 116).
edge(2, 89, 81).
edge(2, 89, 85).
edge(2, 89, 87).
vertice(2, 89).
edge(2, 89, 91).
edge(2, 89, 93).
edge(2, 89, 94).
edge(2, 89, 97).
edge(2, 89, 98).
edge(2, 89, 99).
edge(2, 89, 100).
edge(2, 89, 104).
edge(2, 89, 107).
edge(2, 89, 111).
edge(2, 89, 112).
edge(2, 89, 115).
edge(2, 89, 118).
edge(2, 90, 86).
vertice(2, 90).
edge(2, 90, 92).
edge(2, 90, 94).
edge(2, 90, 95).
edge(2, 90, 98).
edge(2, 90, 99).
edge(2, 90, 100).
edge(2, 90, 101).
edge(2, 90, 104).
edge(2, 90, 105).
edge(2, 90, 110).
edge(2, 90, 112).
edge(2, 90, 116).
edge(2, 90, 117).
edge(2, 90, 118).
edge(2, 91, 86).
edge(2, 91, 87).
edge(2, 91, 89).
vertice(2, 91).
edge(2, 91, 98).
edge(2, 91, 100).
edge(2, 91, 105).
edge(2, 91, 108).
edge(2, 91, 110).
edge(2, 91, 111).
edge(2, 91, 112).
edge(2, 91, 115).
edge(2, 91, 119).
edge(2, 92, 86).
edge(2, 92, 87).
edge(2, 92, 90).
vertice(2, 92).
edge(2, 92, 95).
edge(2, 92, 96).
edge(2, 92, 98).
edge(2, 92, 102).
edge(2, 92, 104).
edge(2, 92, 106).
edge(2, 92, 108).
edge(2, 92, 110).
edge(2, 92, 113).
edge(2, 92, 116).
edge(2, 93, 82).
edge(2, 93, 83).
edge(2, 93, 84).
edge(2, 93, 89).
vertice(2, 93).
edge(2, 93, 96).
edge(2, 93, 99).
edge(2, 93, 103).
edge(2, 93, 106).
edge(2, 93, 109).
edge(2, 93, 114).
edge(2, 93, 115).
edge(2, 94, 83).
edge(2, 94, 86).
