vertice(3, 120).
edge(3, 120, 123).
edge(3, 120, 124).
edge(3, 120, 127).
edge(3, 120, 128).
edge(3, 120, 130).
edge(3, 120, 131).
edge(3, 120, 132).
edge(3, 120, 137).
edge(3, 120, 138).
edge(3, 120, 139).
edge(3, 120, 142).
edge(3, 120, 144).
edge(3, 120, 146).
edge(3, 120, 149).
edge(3, 120, 150).
edge(3, 120, 153).
edge(3, 120, 157).
edge(3, 120, 158).
vertice(3, 121).
edge(3, 121, 122).
edge(3, 121, 124).
edge(3, 121, 127).
edge(3, 121, 131).
edge(3, 121, 136).
edge(3, 121, 140).
edge(3, 121, 144).
edge(3, 121, 147).
edge(3, 121, 152).
edge(3, 122, 121).
vertice(3, 122).
edge(3, 122, 135).
edge(3, 122, 140).
edge(3, 122, 141).
edge(3, 122, 142).
edge(3, 122, 143).
edge(3, 122, 146).
edge(3, 122, 148).
edge(3, 122, 152).
edge(3, 122, 153).
edge(3, 123, 120).
vertice(3, 123).
edge(3, 123, 125).
edge(3, 123, 127).
edge(3, 123, 130).
edge(3, 123, 132).
edge(3, 123, 136).
edge(3, 123, 138).
edge(3, 123, 143).
edge(3, 123, 149).
edge(3, 123, 150).
edge(3, 123, 153).
edge(3, 123, 155).
edge(3, 124, 120).
edge(3, 124, 121).
vertice(3, 124).
edge(3, 124, 129).
edge(3, 124, 133).
edge(3, 124, 135).
edge(3, 124, 137).
edge(3, 124, 148).
edge(3, 124, 150).
edge(3, 124, 151).
edge(3, 124, 157).
edge(3, 125, 123).
vertice(3, 125).
edge(3, 125, 128).
edge(3, 125, 129).
edge(3, 125, 136).
edge(3, 125, 144).
edge(3, 125, 146).
edge(3, 125, 150).
edge(3, 125, 152).
edge(3, 125, 153).
edge(3, 125, 155).
edge(3, 125, 156).
edge(3, 125, 158).
vertice(3, 126).
edge(3, 126, 129).
edge(3, 126, 131).
edge(3, 126, 134).
edge(3, 126, 139).
edge(3, 126, 140).
edge(3, 126, 148).
edge(3, 126, 149).
edge(3, 126, 155).
edge(3, 126, 159).
edge(3, 127, 120).
edge(3, 127, 121).
edge(3, 127, 123).
vertice(3, 127).
edge(3, 127, 128).
edge(3, 127, 130).
edge(3, 127, 131).
edge(3, 127, 132).
edge(3, 127, 134).
edge(3, 127, 135).
edge(3, 127, 136).
edge(3, 127, 137).
edge(3, 127, 141).
edge(3, 127, 146).
edge(3, 127, 148).
edge(3, 127, 151).
edge(3, 127, 156).
edge(3, 127, 159).
edge(3, 128, 120).
edge(3, 128, 125).
edge(3, 128, 127).
vertice(3, 128).
edge(3, 128, 129).
edge(3, 128, 130).
edge(3, 128, 137).
edge(3, 128, 142).
edge(3, 128, 144).
edge(3, 128, 145).
edge(3, 128, 148).
edge(3, 128, 153).
edge(3, 128, 154).
edge(3, 129, 124).
edge(3, 129, 125).
edge(3, 129, 126).
edge(3, 129, 128).
vertice(3, 129).
edge(3, 129, 131).
edge(3, 129, 136).
edge(3, 129, 139).
edge(3, 129, 144).
edge(3, 129, 145).
edge(3, 129, 151).
edge(3, 129, 155).
edge(3, 129, 159).
edge(3, 130, 120).
edge(3, 130, 123).
edge(3, 130, 127).
edge(3, 130, 128).
vertice(3, 130).
edge(3, 130, 131).
edge(3, 130, 134).
edge(3, 130, 137).
edge(3, 130, 145).
edge(3, 130, 149).
edge(3, 130, 151).
edge(3, 130, 153).
edge(3, 130, 154).
edge(3, 130, 155).
edge(3, 131, 120).
edge(3, 131, 121).
edge(3, 131, 126).
edge(3, 131, 127).
edge(3, 131, 129).
edge(3, 131, 130).
vertice(3, 131).
edge(3, 131, 132).
edge(3, 131, 133).
edge(3, 131, 134).
edge(3, 131, 135).
edge(3, 131, 136).
edge(3, 131, 139).
edge(3, 131, 143).
edge(3, 131, 147).
edge(3, 131, 149).
edge(3, 131, 152).
edge(3, 131, 153).
edge(3, 131, 157).
edge(3, 132, 120).
edge(3, 132, 123).
edge(3, 132, 127).
edge(3, 132, 131).
vertice(3, 132).
edge(3, 132, 135).
edge(3, 132, 137).
edge(3, 132, 139).
edge(3, 132, 143).
edge(3, 132, 146).
edge(3, 132, 147).
edge(3, 132, 148).
edge(3, 132, 149).
edge(3, 132, 154).
edge(3, 132, 155).
edge(3, 132, 156).
edge(3, 133, 124).
edge(3, 133, 131).
vertice(3, 133).
edge(3, 133, 135).
edge(3, 133, 140).
edge(3, 133, 142).
edge(3, 133, 144).
edge(3, 133, 152).
edge(3, 133, 154).
edge(3, 133, 156).
edge(3, 133, 158).
edge(3, 134, 126).
edge(3, 134, 127).
edge(3, 134, 130).
edge(3, 134, 131).
vertice(3, 134).
edge(3, 134, 144).
edge(3, 134, 147).
edge(3, 134, 149).
edge(3, 134, 150).
edge(3, 134, 151).
edge(3, 134, 152).
edge(3, 134, 154).
edge(3, 134, 159).
edge(3, 135, 122).
edge(3, 135, 124).
edge(3, 135, 127).
edge(3, 135, 131).
edge(3, 135, 132).
edge(3, 135, 133).
vertice(3, 135).
edge(2, 135, 102).
edge(3, 135, 136).
edge(3, 135, 139).
edge(3, 135, 141).
edge(3, 135, 144).
edge(3, 135, 147).
edge(3, 135, 148).
edge(3, 135, 151).
edge(3, 135, 153).
edge(3, 135, 156).
edge(3, 136, 121).
edge(3, 136, 123).
edge(3, 136, 125).
edge(3, 136, 127).
edge(3, 136, 129).
edge(3, 136, 131).
edge(3, 136, 135).
vertice(3, 136).
edge(3, 136, 144).
